Gameno,Group,TeamId,Continent,Opponent,Score,Win,Ranking202306,Formation,Position,Best,PassesAttempted,PassesCompleted,PassesCompletedPct,SwitchesOfPlay,CrossesAttempted,CrossesCompleted,LineBreaksAttempted,LineBreaksCompleted,LineBreaksCompletedPct,Ballprogressins,Takeone,StepIns,AttemptsatGoal,Goals,TotalOffers,InFront,InBetween,OutToIn,IntoOut,InBehind,NoMovement,OffersReceived,TacklesMade,TacklesWon,Blocks,Interceptions,PressingDirect,PressingIndirect,DuelsWonAerial,DuelsWonPhysical,PossessionContestsWon,Clearances,LooseBallReceptions,PushingOn,PushingOnIntoPressing,PossessionRegains,PossessionInterrupted,TotalDistance_m,WalkingDistance,JoggingDistance,RunningDistance,VeryHighSpeedDistance,MaxSprintDistance,HighSpeedRunCount,TopSpeedSprintCount,TopSpeed,TeamScore,Defenders,Midfielders,Forwards,TacklesWonPct,CrossesCompletedPct
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,GK,STARTING,22,19,86%,0,0,0,3,1,33%,0,0,0,1,0,16,0,0,0,0,0,16,5,0,0,0,0,0,0,2,0,2,1,3,0,0,5,1,5207.4,3108.8,1362.3,535.3,184.9,16.1,48,10,25.3,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,GK,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,DF,Substitutions,14,12,86%,1,0,0,2,1,50%,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,4,2,2,0,2,7,1,12,2,6,4,3767.5,1253.1,1472.7,715.1,202.7,123.6,60,13,27.8,0,4,4,2,50,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,DF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,MF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,FW,Substitutions,5,3,60%,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,7,2,2,0,0,0,0,2,6,1,0,1,4,2,4,4,0,3,1782.9,616.7,598.2,432.9,57.8,77.4,36,8,29.4,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,MF,Substitutions,7,6,86%,0,1,0,1,1,100%,0,0,0,0,0,33,8,15,0,1,5,4,7,3,0,3,0,4,12,0,0,0,1,3,10,4,2,0,4284.8,1068.6,1564,1215.2,348.4,88.7,102,21,26,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,FW,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,MF,Substitutions,9,8,89%,0,0,0,3,2,66%,0,0,0,0,0,12,1,0,1,0,6,4,4,2,0,0,1,2,7,2,0,2,3,3,5,2,1,3,2772,953,952.5,741.2,119.5,5.8,67,12,23.8,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,DF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0
